gl_account_number,gl_account_name,gl_month,gl_year,gl_amount,gl_src,scd_active,scd_start,scd_end
111010100,Cash,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111010200,Current A/C Balance,08,2021,81078146.92,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111010300,Saving A/C Balance,08,2021,39.57,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111010000,Cash,08,2021,81078186.49,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111020200,Cash in transit,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111020400,Cash in bank-fixed deposit (not over 3 mths),08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111020000,Cash equivalents,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
111000000,Cash and cash equivalents,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112010100,Trade receivables - Related parties,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112010200,Trade receivables - Other parties,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112010210,Allowance for impair loss-trade receivables - Other parties,08,2021,81078186.49,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112010300,Notes receivable,08,2021,2618224113.6,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112010000,Trade receivables,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020150,Other receivable - Employees,08,2021,3405441968.53,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020200,Other receivable - Others,08,2021,-75479223.08,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020210,Allowance for impairment loss on other receivables,08,2021,6738234.74,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020410,Accrued interest income,08,2021,5954925093.79,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020490,Accrued incomes - Others,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020500,Prepaid expenses - Royalty fee & License,08,2021,1351453.21,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020510,Prepaid expense - Other tax,08,2021,473202857.93,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020520,Prepaid Expense-Rent,08,2021,-18243446.06,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020590,Prepaid expenses - Others,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020600,Advances payment-Goods/Services,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020610,Advance payment for PPE,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020630,Advance payment - Share,08,2021,37597928.33,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020690,Advance payment for Others,08,2021,0.0,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020700,Deposits - Paid,08,2021,13737242.15,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
112020910,Refundable Tax (Non CIT),08,2021,13291871.28,"E0750 - Siam Kraft Industry Co., Ltd.",1,2021-08-01,
